ch_ref,ch_fow,amp_ref,amp_fow,thr_ref,thr_fow,ratio_ref,ratio_fow,width_ref,width_fow,p_ref,p_fow,latency,distance,detect_probability
E9,E11,44.7221789883268,8.36964980544747,19.2395397378395,18.7846166258071,2.32449318422982,0.445558723511499,4.24729128721221,3.95459411761988,62.2731517509728,15.0770428015564,0.25,200,0.555642023346304
E9,E10,44.7221789883268,7.49416342412451,19.2395397378395,18.037304826803,2.32449318422982,0.415481331389842,4.24729128721221,3.78517396729197,62.2731517509728,10.9486381322957,0.15,100,0.509727626459144
E9,E8,44.7221789883268,11.6879377431907,19.2395397378395,19.5913243398813,2.32449318422982,0.596587425149098,4.24729128721221,7.22027329988257,62.2731517509728,13.875486381323,0.1,100,0.258365758754864
E9,A8,44.7221789883268,10.8163424124514,19.2395397378395,19.9187778679552,2.32449318422982,0.543022392445693,4.24729128721221,4.1242231073083,62.2731517509728,13.788326848249,0.6,412.310562561766,0.466926070038911
E9,A7,44.7221789883268,7.46070038910506,19.2395397378395,19.4430648403982,2.32449318422982,0.383720388238559,4.24729128721221,4.07393593452522,62.2731517509728,9.28560311284047,0.35,447.213595499958,0.504280155642023
E9,A6,44.7221789883268,18.7657587548638,19.2395397378395,19.77594149835,2.32449318422982,0.948918601747966,4.24729128721221,4.29838979244821,62.2731517509728,24.4700389105058,0.3,500,0.407003891050584
E9,C6,44.7221789883268,8.49105058365759,19.2395397378395,19.3098955722156,2.32449318422982,0.439725349725614,4.24729128721221,3.4464298968307,62.2731517509728,9.90505836575876,0.1,360.555127546399,0.299610894941634
C7,E9,38.2194244604317,3.65647482014389,20.0617939325945,19.2395397378395,1.90508508804571,0.190050015227364,4.92943201829237,4.398279214249,56.5071942446043,8.24460431654676,0.1,282.842712474619,0.151079136690647
C7,D8,38.2194244604317,7.42086330935252,20.0617939325945,18.9269180247914,1.90508508804571,0.392079856827843,4.92943201829237,6.07883435625139,56.5071942446043,11.2446043165468,0.45,141.42135623731,0.273381294964029
C7,A6,38.2194244604317,25.0845323741007,20.0617939325945,19.77594149835,1.90508508804571,1.26843682138692,4.92943201829237,6.41254668645853,56.5071942446043,31.1492805755396,0.55,223.606797749979,0.56294964028777
C7,B6,38.2194244604317,14.158273381295,20.0617939325945,18.9707825327849,1.90508508804571,0.746319945254075,4.92943201829237,7.4071166253246,56.5071942446043,21.7913669064748,0.45,141.42135623731,0.607913669064748
C7,D5,38.2194244604317,12.7841726618705,20.0617939325945,19.6445918185116,1.90508508804571,0.650773137969894,4.92943201829237,5.38184465125278,56.5071942446043,14.0953237410072,0.7,223.606797749979,0.384892086330935
K4,J2,24.9019607843137,21.4411764705882,21.0496268650006,18.6596966646963,1.18301198135338,1.14906350600835,5.11928696678186,5.90000836234168,36.5392156862745,30.4950980392157,0.2,223.606797749979,0.583333333333333
K4,J5,24.9019607843137,24.7009803921569,21.0496268650006,24.3679372606825,1.18301198135338,1.01366726809543,5.11928696678186,5.45025219878161,36.5392156862745,37.9754901960784,0.1,141.42135623731,0.833333333333333
K4,L5,24.9019607843137,25.671568627451,21.0496268650006,19.1449851343692,1.18301198135338,1.34090303268845,5.11928696678186,7.3309793239748,36.5392156862745,38.25,0.4,141.42135623731,0.534313725490196
K4,L6,24.9019607843137,12.0490196078431,21.0496268650006,21.4325254386064,1.18301198135338,0.562183847272577,5.11928696678186,6.09622081458039,36.5392156862745,16.2156862745098,0.65,223.606797749979,0.416666666666667
F8,D12,59.954351795496,7.2288496652465,19.6380600342809,21.3316401084557,3.05296713070627,0.33887922487409,3.87128361765902,3.66197761268556,61.6086427267194,12.1290322580645,0.75,447.213595499958,0.319537431527693
F8,D11,59.954351795496,8.95252586731589,19.6380600342809,16.5655762698002,3.05296713070627,0.540429485911502,3.87128361765902,5.93195574649592,61.6086427267194,13.2976262933658,0.6,360.555127546399,0.387705416920268
F8,C11,59.954351795496,3.36762020693853,19.6380600342809,21.6489614449621,3.05296713070627,0.155555739498174,3.87128361765902,3.30948490064922,61.6086427267194,11.2270237370663,0.8,424.264068711929,0.248326232501522
F8,E7,59.954351795496,26.9799147900183,19.6380600342809,21.7669259038161,3.05296713070627,1.23949127723581,3.87128361765902,3.19780923845861,61.6086427267194,36.0559951308582,0.25,141.42135623731,0.455873402312842
F8,F6,59.954351795496,4.68837492391966,19.6380600342809,19.3244311353397,3.05296713070627,0.242613864857618,3.87128361765902,3.19027539969801,61.6086427267194,9.58916615946439,0.35,200,0.344491783323189
F8,E6,59.954351795496,18.3889227023737,19.6380600342809,18.6986600626838,3.05296713070627,0.983435317863858,3.87128361765902,3.64713501516551,61.6086427267194,22.2903225806452,0.35,223.606797749979,0.422398052343274
F8,D4,59.954351795496,3.56055995130858,19.6380600342809,19.3862464592154,3.05296713070627,0.183664226017102,3.87128361765902,4.57625960328826,61.6086427267194,6.53317102860621,0.05,447.213595499958,0.155203895313451
F8,C3,59.954351795496,6.95800365185636,19.6380600342809,19.5885204294322,3.05296713070627,0.355208229070829,3.87128361765902,3.36757375521635,61.6086427267194,8.20206938527085,0.9,583.09518948453,0.281801582471089
F8,E5,59.954351795496,8.90079123554474,19.6380600342809,19.366623902054,3.05296713070627,0.4595943660888,3.87128361765902,3.44709730991723,61.6086427267194,11.377358490566,0.5,316.227766016838,0.256238587948874
F8,D3,59.954351795496,7.2726719415703,19.6380600342809,19.1914983258568,3.05296713070627,0.378952795560094,3.87128361765902,3.17920781653486,61.6086427267194,7.58977480219111,0.7,538.51648071345,0.258064516129032
F8,D2,59.954351795496,7.91905051734632,19.6380600342809,17.4227662895877,3.05296713070627,0.454523144357332,3.87128361765902,3.60239585366463,61.6086427267194,8.86792452830189,0.8,632.455532033676,0.33353621424224
F8,D1,59.954351795496,8.14911746804626,19.6380600342809,17.8220991149611,3.05296713070627,0.457247904159915,3.87128361765902,3.31763580888745,61.6086427267194,8.7303712720633,0.85,728.010988928052,0.371272063298844
F8,E3,59.954351795496,18.2471089470481,19.6380600342809,18.0184859681397,3.05296713070627,1.01268824580004,3.87128361765902,2.92816976802476,61.6086427267194,28.0012172854534,0.65,509.901951359278,0.37492391965916
F8,E2,59.954351795496,9.58490566037736,19.6380600342809,19.036892222593,3.05296713070627,0.503491092364434,3.87128361765902,3.5213555612681,61.6086427267194,12.4175289105295,0.7,608.276253029822,0.403530127814973
F8,F4,59.954351795496,5.69506999391357,19.6380600342809,16.8120667143612,3.05296713070627,0.338748952801189,3.87128361765902,5.45895435914473,61.6086427267194,8.17650639074863,0.5,400,0.160073037127206
F8,F3,59.954351795496,9.83931832014607,19.6380600342809,18.5138077240496,3.05296713070627,0.53145838321334,3.87128361765902,3.39842217013205,61.6086427267194,12.7589774802191,0.55,500,0.215459525258673
F8,F5,59.954351795496,26.522824102252,19.6380600342809,18.2486084616704,3.05296713070627,1.45341625132464,3.87128361765902,3.46524272235864,61.6086427267194,39.0894704808278,0.45,300,0.398660986001217
F8,G6,59.954351795496,39.2008520998174,19.6380600342809,17.7172393837248,3.05296713070627,2.21258240354463,3.87128361765902,3.46552289410316,61.6086427267194,46.8898356664638,0.65,223.606797749979,0.456482045039562
F8,H6,59.954351795496,16.4132684114425,19.6380600342809,18.9599775680949,3.05296713070627,0.865679737884399,3.87128361765902,3.31405936622543,61.6086427267194,19.9878271454656,0.8,282.842712474619,0.295800365185636
F8,H7,59.954351795496,20.3158855751674,19.6380600342809,19.6548681356961,3.05296713070627,1.03363123247165,3.87128361765902,3.59353649363081,61.6086427267194,30.3657942787584,0.35,223.606797749979,0.39622641509434
F8,K8,59.954351795496,5.11564211807669,19.6380600342809,20.9101649165459,3.05296713070627,0.244648578262946,3.87128361765902,3.92424279387469,61.6086427267194,9.97748021911138,0.65,400,0.212416311625076
F8,J10,59.954351795496,5.71211199026172,19.6380600342809,19.7057915426872,3.05296713070627,0.289869705456287,3.87128361765902,3.50310598476711,61.6086427267194,11.2294583079732,0.35,360.555127546399,0.216068167985393
F8,J11,59.954351795496,10.6695069993914,19.6380600342809,19.5285989262864,3.05296713070627,0.546352917567972,3.87128361765902,3.30933692240027,61.6086427267194,18.7553256238588,0.4,424.264068711929,0.426049908703591
E7,F10,48.5655409273039,7.76874642243847,21.7669259038161,20.3141715508167,2.23116213754325,0.382429891517093,3.67268961712944,5.3612846056019,60.3165426445335,10.858614768174,0.35,316.227766016838,0.222095020034345
E7,F9,48.5655409273039,6.83514596451059,21.7669259038161,20.5063538597321,2.23116213754325,0.333318444188784,3.67268961712944,4.52018791506399,60.3165426445335,14.0171722953635,0.1,223.606797749979,0.425300515168861
E7,D12,48.5655409273039,5.1265025758443,21.7669259038161,21.3316401084557,2.23116213754325,0.240323882729121,3.67268961712944,3.49595742856905,60.3165426445335,9.02175157412707,0.45,509.901951359278,0.262736119061248
E7,D11,48.5655409273039,6.88780767029193,21.7669259038161,16.5655762698002,2.23116213754325,0.415790405242269,3.67268961712944,5.81473814078439,60.3165426445335,9.95306239267315,0.3,412.310562561766,0.294218660560962
E7,C9,48.5655409273039,3.98511734401832,21.7669259038161,19.5868266215556,2.23116213754325,0.203459060572509,3.67268961712944,4.32166927091011,60.3165426445335,5.9559244419004,0.05,282.842712474619,0.0967372638809388
E7,E6,48.5655409273039,14.3085289066972,21.7669259038161,18.6986600626838,2.23116213754325,0.765216804772667,3.67268961712944,3.71409342131798,60.3165426445335,19.3016599885518,0.1,100,0.319404693760733
E7,C4,48.5655409273039,6.77733257012021,21.7669259038161,17.3797602430806,2.23116213754325,0.389955469772287,3.67268961712944,3.43563531141966,60.3165426445335,8.2180881511162,0.25,360.555127546399,0.336576989124213
E7,D4,48.5655409273039,10.2987979393246,21.7669259038161,19.3862464592154,2.23116213754325,0.531242495084909,3.67268961712944,4.63247254822958,60.3165426445335,15.4315970234688,0.1,316.227766016838,0.350887235260446
E7,C3,48.5655409273039,5.42987979393246,21.7669259038161,19.5885204294322,2.23116213754325,0.277197035554249,3.67268961712944,3.52891473657051,60.3165426445335,6.57584430452204,0.65,447.213595499958,0.202060675443618
E7,E5,48.5655409273039,9.63136805953062,21.7669259038161,19.366623902054,2.23116213754325,0.497317865428735,3.67268961712944,3.59108004522571,60.3165426445335,15.2770463651975,0.25,200,0.314253005151689
E7,D3,48.5655409273039,8.16084716657127,21.7669259038161,19.1914983258568,2.23116213754325,0.425232414270443,3.67268961712944,6.72380318215172,60.3165426445335,8.23010875787064,0.25,412.310562561766,0.329135661133372
E7,D1,48.5655409273039,5.58786491127647,21.7669259038161,17.8220991149611,2.23116213754325,0.313535733093619,3.67268961712944,3.60491268452704,60.3165426445335,6.44876931883228,0.6,608.276253029822,0.24384659416142
E7,E3,48.5655409273039,11.6107613050944,21.7669259038161,18.0184859681397,2.23116213754325,0.644380517076996,3.67268961712944,3.06553930037141,60.3165426445335,18.6737263880939,0.35,400,0.250715512306812
E7,E2,48.5655409273039,6.27876359473383,21.7669259038161,19.036892222593,2.23116213754325,0.329820830066064,3.67268961712944,3.50979497184154,60.3165426445335,8.28334287349742,0.45,500,0.29536348025186
E7,F3,48.5655409273039,16.1740125930166,21.7669259038161,18.5138077240496,2.23116213754325,0.87361891373682,3.67268961712944,4.43255375487939,60.3165426445335,21.7246708643389,0.2,412.310562561766,0.407555809959931
E7,F5,48.5655409273039,18.6651402404121,21.7669259038161,18.2486084616704,2.23116213754325,1.02282539951562,3.67268961712944,3.72731337885813,60.3165426445335,30.9908414424728,0.2,223.606797749979,0.299370349170006
E7,H6,48.5655409273039,12.3909559244419,21.7669259038161,18.9599775680949,2.23116213754325,0.653532203819318,3.67268961712944,3.54196461761783,60.3165426445335,17.5163136805953,0.5,316.227766016838,0.273039496279336
E7,H7,48.5655409273039,12.9811104751002,21.7669259038161,19.6548681356961,2.23116213754325,0.660452687114426,3.67268961712944,3.74052511164894,60.3165426445335,20.8214081282198,0.05,300,0.28677733257012
E7,L7,48.5655409273039,3.05666857469949,21.7669259038161,19.3080915952492,2.23116213754325,0.158310237944572,3.67268961712944,4.05390906362545,60.3165426445335,7.41385231825987,0.6,600,0.183743560389239
E7,J7,48.5655409273039,7.26617057813394,21.7669259038161,17.8913402185976,2.23116213754325,0.406127796428628,3.67268961712944,3.53691644714615,60.3165426445335,11.2180881511162,0.2,400,0.140812821980538
E7,K8,48.5655409273039,3.08414424728105,21.7669259038161,20.9101649165459,2.23116213754325,0.147494974792887,3.67268961712944,4.51403066562871,60.3165426445335,8.17458500286205,0.4,509.901951359278,0.195764167143675
E7,J10,48.5655409273039,4.48425872925014,21.7669259038161,19.7057915426872,2.23116213754325,0.227560446863362,3.67268961712944,3.64444257228334,60.3165426445335,8.04979965655409,0.1,500,0.18259874069834
E7,J11,48.5655409273039,6.99828277046365,21.7669259038161,19.5285989262864,2.23116213754325,0.35836071993079,3.67268961712944,3.18937973339101,60.3165426445335,12.8986834573555,0.15,565.685424949238,0.305666857469948
E7,G11,48.5655409273039,14.7447052089296,21.7669259038161,20.581121110656,2.23116213754325,0.716418951603925,3.67268961712944,4.4403813663,60.3165426445335,13.2444190040069,0.2,447.213595499958,0.171722953634803
J11,E12,31.7222222222222,3.2020202020202,19.5285989262864,18.8174690980271,1.62439826543432,0.170162107631993,3.28170014387,3.03783758329213,43.4949494949495,7.23737373737374,0.25,412.310562561766,0.143939393939394
J11,D12,31.7222222222222,16.469696969697,19.5285989262864,21.3316401084557,1.62439826543432,0.772078325246474,3.28170014387,3.39856491193547,43.4949494949495,24.0934343434343,0.3,509.901951359278,0.611111111111111
J11,D11,31.7222222222222,18.5934343434343,19.5285989262864,16.5655762698002,1.62439826543432,1.12241397706949,3.28170014387,5.85468463708072,43.4949494949495,25.4772727272727,0.15,500,0.737373737373737
J11,C11,31.7222222222222,9.67424242424242,19.5285989262864,21.6489614449621,1.62439826543432,0.446868661521576,3.28170014387,3.08931856155541,43.4949494949495,21.8762626262626,0.4,600,0.55050505050505
J11,C10,31.7222222222222,6.40909090909091,19.5285989262864,18.2396913395703,1.62439826543432,0.351381544225292,3.28170014387,3.5747291903646,43.4949494949495,14.4242424242424,0.55,608.276253029822,0.351010101010101
J11,C9,31.7222222222222,6.01010101010101,19.5285989262864,19.5868266215556,1.62439826543432,0.306844039936862,3.28170014387,3.31715336728919,43.4949494949495,9.32323232323232,0.3,632.455532033676,0.181818181818182
J11,C3,31.7222222222222,12.9545454545455,19.5285989262864,19.5885204294322,1.62439826543432,0.661333534669671,3.28170014387,3.35547682301596,43.4949494949495,14.8333333333333,0.5,1000,0.512626262626263
J11,E5,31.7222222222222,17.4873737373737,19.5285989262864,19.366623902054,1.62439826543432,0.902964493234106,3.28170014387,3.70663255257902,43.4949494949495,21.1919191919192,0.1,721.110255092798,0.419191919191919
J11,D3,31.7222222222222,15.3661616161616,19.5285989262864,19.1914983258568,1.62439826543432,0.800675453018627,3.28170014387,3.05528081979704,43.4949494949495,15.0858585858586,0.3,943.39811320566,0.477272727272727
J11,D2,31.7222222222222,14.0328282828283,19.5285989262864,17.4227662895877,1.62439826543432,0.805430552736891,3.28170014387,3.60073123420264,43.4949494949495,16.0707070707071,0.35,1029.5630140987,0.575757575757576
J11,D1,31.7222222222222,14.1010101010101,19.5285989262864,17.8220991149611,1.62439826543432,0.791209273949819,3.28170014387,3.45588929158615,43.4949494949495,16.979797979798,0.4,1118.03398874989,0.679292929292929
J11,E3,31.7222222222222,36.9318181818182,19.5285989262864,18.0184859681397,1.62439826543432,2.04966267682651,3.28170014387,2.962938818778,43.4949494949495,53.6792929292929,0.2,894.427190999916,0.696969696969697
J11,E2,31.7222222222222,17.6893939393939,19.5285989262864,19.036892222593,1.62439826543432,0.929216477803039,3.28170014387,3.60608674553585,43.4949494949495,22.6691919191919,0.25,984.88578017961,0.75
J11,F4,31.7222222222222,12.3838383838384,19.5285989262864,16.8120667143612,1.62439826543432,0.73660416617666,3.28170014387,5.14562980978075,43.4949494949495,15.9444444444444,0.05,761.577310586391,0.30050505050505
J11,F3,31.7222222222222,17.1515151515152,19.5285989262864,18.5138077240496,1.62439826543432,0.926417482948963,3.28170014387,3.66084047267765,43.4949494949495,26.1691919191919,0.1,854.400374531753,0.376262626262626
J11,F5,31.7222222222222,50.1186868686869,19.5285989262864,18.2486084616704,1.62439826543432,2.74643882978567,3.28170014387,3.43191006300208,43.4949494949495,79.2222222222222,0.05,670.820393249937,0.712121212121212
J11,H3,31.7222222222222,4.97979797979798,19.5285989262864,17.0411519164776,1.62439826543432,0.292221911065933,3.28170014387,3.2416832626665,43.4949494949495,7.16161616161616,0.85,806.225774829855,0.133838383838384
J11,H5,31.7222222222222,12.9090909090909,19.5285989262864,19.7492949509711,1.62439826543432,0.653648190537362,3.28170014387,3.34261653836321,43.4949494949495,18.2373737373737,0.3,608.276253029822,0.593434343434343
J11,M6,31.7222222222222,4.76515151515152,19.5285989262864,18.5391906618155,1.62439826543432,0.257031258919308,3.28170014387,3.96282652651915,43.4949494949495,6.96464646464647,0.95,583.09518948453,0.148989898989899
J11,H6,31.7222222222222,36.0277777777778,19.5285989262864,18.9599775680949,1.62439826543432,1.90020149804417,3.28170014387,3.31764553889774,43.4949494949495,40.8535353535354,0.35,509.901951359278,0.578282828282828
